CustomerID,CustomerName,City,Email,Phone
1,Customer_1,alex,cust0@example.com,0127570119
2,Customer_2,EGYPT,cust1@example.com,
3,Customer_3,EGYPT,cust2@example.com,0111886478
4,Customer_4,alex,cust3@example.com,0107754606
5,Customer_5,giza,cust4@example.com,0113748661
6,Customer_6,EGYPT,cust5@example.com,0121342848
7,Customer_7,Cairo,cust6@example.com,0113160121
8,Customer_8,Cairo,cust7@example.com,0126669206
9,Customer_9,cairo,cust8@example.com,0104107252
10,Customer_10,Alexandria,cust9@example.com,0118744328
11,Customer_11,giza,cust10@example.com,
12,Customer_12,Giza,cust11@example.com,0125990762
13,Customer_13,EGYPT,cust12@example.com,0114951084
14,Customer_14,Cairo,cust13@example.com,0106637194
15,Customer_15,alex,,0121523515
16,Customer_16,EGYPT,cust15@example.com,0126692824
17,Customer_17,Alexandria,cust16@example.com,
18,Customer_18,alex,cust17@example.com,0102053345
19,Customer_19,CAIRO,cust18@example.com,0123773242
20,Customer_20,CAIRO,cust19@example.com,0111226606
21,Customer_21,EGYPT,,0116701340
22,Customer_22,Alexandria,cust21@example.com,0129169139
23,Customer_23,giza,cust22@example.com,0104420012
24,Customer_24,EGYPT,cust23@example.com,0123461473
25,Customer_25,Cairo,cust24@example.com,0125006790
26,Customer_26,Egypt,cust25@example.com,0109051823
27,Customer_27,EGYPT,cust26@example.com,0126738617
28,Customer_28,EGYPT,,0112812841
29,Customer_29,alex,cust28@example.com,0125293518
30,Customer_30,Egypt,cust29@example.com,0113638656
31,Customer_31,Cairo,cust30@example.com,0115040907
32,Customer_32,EGYPT,cust31@example.com,0126748559
33,Customer_33,alex,cust32@example.com,0123169931
34,Customer_34,Alexandria,cust33@example.com,0104062523
35,Customer_35,EGYPT,cust34@example.com,0127122366
36,Customer_36,Egypt,cust35@example.com,0129538123
37,Customer_37,cairo,cust36@example.com,
38,Customer_38,Egypt,cust37@example.com,0108544827
39,Customer_39,CAIRO,cust38@example.com,
40,Customer_40,Cairo,cust39@example.com,0119804392
41,Customer_41,Giza,cust40@example.com,0129134948
42,Customer_42,EGYPT,cust41@example.com,
43,Customer_43,Egypt,cust42@example.com,0104906795
44,Customer_44,Giza,cust43@example.com,0127977025
45,Customer_45,alex,cust44@example.com,0116675604
46,Customer_46,cairo,cust45@example.com,0115315359
47,Customer_47,Cairo,cust46@example.com,0119767801
48,Customer_48,Egypt,cust47@example.com,0102842236
49,Customer_49,Giza,cust48@example.com,0121135020
50,Customer_50,cairo,cust49@example.com,0117307617
51,Customer_51,CAIRO,cust50@example.com,
52,Customer_52,Cairo,cust51@example.com,0121820605
53,Customer_53,Cairo,,0113700657
54,Customer_54,CAIRO,cust53@example.com,0108383549
55,Customer_55,EGYPT,cust54@example.com,0118582484
56,Customer_56,CAIRO,cust55@example.com,0101288878
57,Customer_57,Cairo,cust56@example.com,
58,Customer_58,Cairo,cust57@example.com,0107824494
59,Customer_59,Giza,cust58@example.com,0128015261
60,Customer_60,cairo,cust59@example.com,0129718137
61,Customer_61,CAIRO,cust60@example.com,0121927706
62,Customer_62,cairo,cust61@example.com,
63,Customer_63,CAIRO,cust62@example.com,0126855135
64,Customer_64,alex,cust63@example.com,0108548673
65,Customer_65,Cairo,cust64@example.com,0125702021
66,Customer_66,Giza,cust65@example.com,0126026375
67,Customer_67,cairo,cust66@example.com,0102018014
68,Customer_68,CAIRO,cust67@example.com,0107303490
69,Customer_69,giza,cust68@example.com,0102299354
70,Customer_70,alex,cust69@example.com,0107109140
71,Customer_71,Egypt,cust70@example.com,0104625134
72,Customer_72,EGYPT,cust71@example.com,0104309548
73,Customer_73,cairo,cust72@example.com,0101402989
74,Customer_74,Giza,cust73@example.com,0107542878
75,Customer_75,Egypt,cust74@example.com,0107074335
76,Customer_76,giza,,0115544444
77,Customer_77,EGYPT,cust76@example.com,
78,Customer_78,giza,cust77@example.com,0111194902
79,Customer_79,Egypt,cust78@example.com,0113646500
80,Customer_80,EGYPT,cust79@example.com,
81,Customer_81,giza,cust80@example.com,0102481501
82,Customer_82,Giza,cust81@example.com,0123854205
83,Customer_83,CAIRO,cust82@example.com,0115166026
84,Customer_84,Cairo,cust83@example.com,0107962604
85,Customer_85,CAIRO,cust84@example.com,0119844523
86,Customer_86,Egypt,cust85@example.com,0109757023
87,Customer_87,cairo,cust86@example.com,0118002037
88,Customer_88,Cairo,cust87@example.com,
89,Customer_89,alex,,0123260591
90,Customer_90,Giza,cust89@example.com,0125222855
91,Customer_91,alex,cust90@example.com,
92,Customer_92,EGYPT,cust91@example.com,0104355671
93,Customer_93,Cairo,cust92@example.com,0122915983
94,Customer_94,alex,cust93@example.com,0126040009
95,Customer_95,alex,cust94@example.com,0115038450
96,Customer_96,giza,cust95@example.com,0112001028
97,Customer_97,CAIRO,cust96@example.com,0103545064
98,Customer_98,giza,cust97@example.com,0127023462
99,Customer_99,Cairo,cust98@example.com,0119521055
100,Customer_100,Cairo,cust99@example.com,
101,Customer_101,Egypt,,0103372009
102,Customer_102,giza,cust101@example.com,
103,Customer_103,Alexandria,cust102@example.com,
104,Customer_104,CAIRO,cust103@example.com,0113873821
105,Customer_105,Cairo,cust104@example.com,0125229192
106,Customer_106,Egypt,,0116476945
107,Customer_107,giza,,0127196166
108,Customer_108,CAIRO,cust107@example.com,0129295930
109,Customer_109,giza,,0113555402
110,Customer_110,alex,cust109@example.com,0115328721
111,Customer_111,Egypt,cust110@example.com,0101924716
112,Customer_112,CAIRO,cust111@example.com,
113,Customer_113,EGYPT,cust112@example.com,
114,Customer_114,EGYPT,cust113@example.com,0122868031
115,Customer_115,CAIRO,cust114@example.com,0129441430
116,Customer_116,giza,cust115@example.com,0123564684
117,Customer_117,Egypt,cust116@example.com,0119934910
118,Customer_118,EGYPT,cust117@example.com,0105072509
119,Customer_119,Egypt,cust118@example.com,0103796745
120,Customer_120,EGYPT,cust119@example.com,0115083067
121,Customer_121,alex,cust120@example.com,0104156806
122,Customer_122,giza,cust121@example.com,0125365353
123,Customer_123,alex,,0129568463
124,Customer_124,EGYPT,cust123@example.com,0106029235
125,Customer_125,alex,cust124@example.com,0111523503
126,Customer_126,EGYPT,cust125@example.com,0113476901
127,Customer_127,CAIRO,cust126@example.com,0101566473
128,Customer_128,alex,cust127@example.com,
129,Customer_129,cairo,,0102269163
130,Customer_130,giza,cust129@example.com,0106973274
131,Customer_131,Cairo,cust130@example.com,0101063710
132,Customer_132,Alexandria,cust131@example.com,0124608002
133,Customer_133,alex,cust132@example.com,0102022131
134,Customer_134,Giza,cust133@example.com,0105847563
135,Customer_135,giza,cust134@example.com,0107340279
136,Customer_136,cairo,cust135@example.com,0117564541
137,Customer_137,cairo,cust136@example.com,0112866683
138,Customer_138,EGYPT,cust137@example.com,0115697633
139,Customer_139,EGYPT,cust138@example.com,0125103509
140,Customer_140,Alexandria,cust139@example.com,0116191709
141,Customer_141,CAIRO,cust140@example.com,
142,Customer_142,Giza,cust141@example.com,0113582201
143,Customer_143,Cairo,cust142@example.com,0126052039
144,Customer_144,Alexandria,cust143@example.com,0118175442
145,Customer_145,Egypt,cust144@example.com,0128359327
146,Customer_146,Cairo,cust145@example.com,
147,Customer_147,alex,cust146@example.com,
148,Customer_148,giza,cust147@example.com,
149,Customer_149,Egypt,cust148@example.com,
150,Customer_150,Egypt,cust149@example.com,0116494426
151,Customer_151,Alexandria,cust150@example.com,0114068212
152,Customer_152,CAIRO,cust151@example.com,0127669419
153,Customer_153,Alexandria,cust152@example.com,0103785547
154,Customer_154,alex,cust153@example.com,0109871892
155,Customer_155,CAIRO,cust154@example.com,0121919333
156,Customer_156,alex,cust155@example.com,
157,Customer_157,CAIRO,cust156@example.com,0121364912
158,Customer_158,cairo,cust157@example.com,0102067692
159,Customer_159,Egypt,cust158@example.com,
160,Customer_160,Giza,cust159@example.com,
161,Customer_161,giza,,0116377745
162,Customer_162,alex,cust161@example.com,0109548739
163,Customer_163,Cairo,cust162@example.com,0114591829
164,Customer_164,CAIRO,cust163@example.com,0106185898
165,Customer_165,giza,cust164@example.com,0116237764
166,Customer_166,Cairo,cust165@example.com,0107304757
167,Customer_167,giza,cust166@example.com,
168,Customer_168,Giza,cust167@example.com,0115859803
169,Customer_169,Cairo,cust168@example.com,0113580344
170,Customer_170,Alexandria,cust169@example.com,
171,Customer_171,EGYPT,cust170@example.com,
172,Customer_172,Alexandria,cust171@example.com,0118944882
173,Customer_173,EGYPT,cust172@example.com,0124633092
174,Customer_174,Alexandria,cust173@example.com,0103160115
175,Customer_175,EGYPT,cust174@example.com,
176,Customer_176,EGYPT,cust175@example.com,0121055305
177,Customer_177,Egypt,cust176@example.com,
178,Customer_178,CAIRO,cust177@example.com,0122633662
179,Customer_179,CAIRO,cust178@example.com,0108332933
180,Customer_180,Egypt,,0124076861
181,Customer_181,giza,cust180@example.com,
182,Customer_182,cairo,cust181@example.com,0109237394
183,Customer_183,giza,cust182@example.com,0128810228
184,Customer_184,Cairo,cust183@example.com,0125184325
185,Customer_185,Cairo,cust184@example.com,0127075800
186,Customer_186,EGYPT,cust185@example.com,0118319725
187,Customer_187,Alexandria,cust186@example.com,0127057623
188,Customer_188,Alexandria,,0113615636
189,Customer_189,CAIRO,cust188@example.com,
190,Customer_190,alex,cust189@example.com,0119897436
191,Customer_191,giza,,0117511773
192,Customer_192,Giza,cust191@example.com,0105280936
193,Customer_193,Alexandria,cust192@example.com,0101223797
194,Customer_194,Giza,,0106184911
195,Customer_195,EGYPT,cust194@example.com,0106740484
196,Customer_196,Giza,cust195@example.com,0117899517
197,Customer_197,Egypt,,0105272621
198,Customer_198,Giza,cust197@example.com,
199,Customer_199,cairo,cust198@example.com,0121406517
200,Customer_200,EGYPT,cust199@example.com,0114409497
201,Customer_201,giza,cust200@example.com,0128937777
202,Customer_202,Egypt,cust201@example.com,
203,Customer_203,Alexandria,cust202@example.com,0113846969
204,Customer_204,Cairo,cust203@example.com,
205,Customer_205,giza,cust204@example.com,0107552186
206,Customer_206,Cairo,cust205@example.com,0114158879
207,Customer_207,EGYPT,cust206@example.com,0128261087
208,Customer_208,Egypt,cust207@example.com,0117927569
209,Customer_209,CAIRO,cust208@example.com,0126634470
210,Customer_210,Alexandria,cust209@example.com,0125904147
211,Customer_211,cairo,cust210@example.com,0121700971
212,Customer_212,CAIRO,cust211@example.com,0106009692
213,Customer_213,EGYPT,,0128013488
214,Customer_214,giza,,0103839211
215,Customer_215,cairo,cust214@example.com,0122617847
216,Customer_216,Giza,,0119412092
217,Customer_217,cairo,cust216@example.com,0107844209
218,Customer_218,EGYPT,,
219,Customer_219,alex,cust218@example.com,
220,Customer_220,Giza,cust219@example.com,
221,Customer_221,Cairo,,0116802492
222,Customer_222,Alexandria,cust221@example.com,0119292760
223,Customer_223,Cairo,cust222@example.com,
224,Customer_224,cairo,cust223@example.com,0122154475
225,Customer_225,Cairo,cust224@example.com,0119865516
226,Customer_226,EGYPT,cust225@example.com,0112587977
